v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
4.120000000000002e+00	4.120000e+00	2.011726e-01	2.615245e+00	2.011726e-01	-4.120000e-17	4.120000e-19	2.011727e-20	-2.011727e-05	-2.011727e-05	-1.998401e-20	-1.380665e-04	4.996702e-12	-3.976124e-08	-2.007749e-05	1.380665e-04	-1.458695e-04
4.220000000000002e+00	4.220000e+00	2.088644e-01	2.715237e+00	2.088644e-01	-4.220000e-17	4.220000e-19	2.088644e-20	-2.088644e-05	-2.088644e-05	-2.081668e-20	-1.413681e-04	5.096723e-12	-3.975115e-08	-2.084664e-05	1.413681e-04	-1.491663e-04
4.320000000000001e+00	4.320000e+00	2.165561e-01	2.815230e+00	2.165561e-01	-4.320000e-17	4.320000e-19	2.165561e-20	-2.165561e-05	-2.165561e-05	-2.164935e-20	-1.446696e-04	5.196744e-12	-3.974105e-08	-2.161575e-05	1.446696e-04	-1.524630e-04
4.420000000000001e+00	4.420000e+00	2.242479e-01	2.915223e+00	2.242479e-01	-4.420000e-17	4.420000e-19	2.242479e-20	-2.242479e-05	-2.242479e-05	-2.248202e-20	-1.479712e-04	5.296764e-12	-3.973095e-08	-2.238479e-05	1.479712e-04	-1.557598e-04
4.520000000000000e+00	4.520000e+00	2.319395e-01	3.015214e+00	2.319395e-01	-4.520000e-17	4.520000e-19	2.319396e-20	-2.319395e-05	-2.319395e-05	-2.303713e-20	-1.512728e-04	5.396786e-12	-3.972086e-08	-2.315423e-05	1.512728e-04	-1.590565e-04
4.620000000000000e+00	4.620000e+00	2.396313e-01	3.115206e+00	2.396313e-01	-4.620000e-17	4.620000e-19	2.396313e-20	-2.396313e-05	-2.396313e-05	-2.386979e-20	-1.545743e-04	5.496807e-12	-3.971076e-08	-2.392342e-05	1.545743e-04	-1.623533e-04
4.720000000000000e+00	4.720000e+00	2.473230e-01	3.215199e+00	2.473230e-01	-4.720000e-17	4.720000e-19	2.473230e-20	-2.473230e-05	-2.473230e-05	-2.470246e-20	-1.578759e-04	5.596829e-12	-3.970067e-08	-2.469260e-05	1.578759e-04	-1.656500e-04
4.819999999999999e+00	4.820000e+00	2.550147e-01	3.315191e+00	2.550147e-01	-4.820000e-17	4.820000e-19	2.550147e-20	-2.550147e-05	-2.550147e-05	-2.553513e-20	-1.611774e-04	5.696850e-12	-3.969057e-08	-2.546178e-05	1.611774e-04	-1.689467e-04
4.919999999999999e+00	4.920000e+00	2.627064e-01	3.415184e+00	2.627064e-01	-4.920000e-17	4.920000e-19	2.627064e-20	-2.627064e-05	-2.627064e-05	-2.609024e-20	-1.644790e-04	5.796870e-12	-3.968047e-08	-2.623096e-05	1.644790e-04	-1.722435e-04
5.019999999999999e+00	5.020000e+00	2.703982e-01	3.515176e+00	2.703982e-01	-5.020000e-17	5.020000e-19	2.703982e-20	-2.703982e-05	-2.703982e-05	-2.720046e-20	-1.677806e-04	5.896891e-12	-3.967038e-08	-2.700015e-05	1.677806e-04	-1.755402e-04
