v_supply	V(v_batteries)	V(vout_reg)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc1)	I(R1)	I(R2)	I(R3)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
1.400000000000000e+00	1.440000e+01	3.045984e-01	1.401153e+00	3.045984e-01	1.400000e+00	1.440000e-18	-1.440000e-16	3.045984e-20	-3.045984e-05	-3.045984e-05	-3.053113e-20	-6.954622e-04	2.219959e-11	-2.219959e-11	-2.219959e-11	-3.045982e-05	6.954622e-04	-6.651020e-04
1.500000000000000e+00	1.440000e+01	3.263375e-01	1.501153e+00	3.263375e-01	1.500000e+00	1.440000e-18	-1.440000e-16	3.263376e-20	-3.263375e-05	-3.263375e-05	-3.275158e-20	-6.976178e-04	2.179959e-11	-2.179959e-11	-2.179959e-11	-3.263373e-05	6.976178e-04	-6.650838e-04
1.600000000000000e+00	1.440000e+01	3.480767e-01	1.601153e+00	3.480767e-01	1.600000e+00	1.440000e-18	-1.440000e-16	3.480767e-20	-3.480767e-05	-3.480767e-05	-3.497203e-20	-6.997736e-04	2.139959e-11	-2.139959e-11	-2.139959e-11	-3.480765e-05	6.997736e-04	-6.650656e-04
1.700000000000000e+00	1.440000e+01	3.698158e-01	1.701153e+00	3.698158e-01	1.700000e+00	1.440000e-18	-1.440000e-16	3.698158e-20	-3.698158e-05	-3.698158e-05	-3.719247e-20	-7.019296e-04	2.099959e-11	-2.099959e-11	-2.099959e-11	-3.698156e-05	7.019296e-04	-6.650477e-04
1.800000000000000e+00	1.440000e+01	3.915550e-01	1.801153e+00	3.915550e-01	1.800000e+00	1.440000e-18	-1.440000e-16	3.915550e-20	-3.915550e-05	-3.915550e-05	-3.885780e-20	-7.040857e-04	2.059959e-11	-2.059959e-11	-2.059959e-11	-3.915547e-05	7.040857e-04	-6.650299e-04
1.900000000000001e+00	1.440000e+01	4.132941e-01	1.901153e+00	4.132941e-01	1.900000e+00	1.440000e-18	-1.440000e-16	4.132941e-20	-4.132941e-05	-4.132941e-05	-4.107825e-20	-7.062419e-04	2.019959e-11	-2.019959e-11	-2.019959e-11	-4.132939e-05	7.062419e-04	-6.650120e-04
2.000000000000000e+00	1.440000e+01	4.350332e-01	2.001153e+00	4.350332e-01	2.000000e+00	1.440000e-18	-1.440000e-16	4.350333e-20	-4.350333e-05	-4.350333e-05	-4.329870e-20	-7.083984e-04	1.979959e-11	-1.979959e-11	-1.979959e-11	-4.350330e-05	7.083984e-04	-6.649947e-04
2.100000000000001e+00	1.440000e+01	4.567724e-01	2.101153e+00	4.567724e-01	2.100000e+00	1.440000e-18	-1.440000e-16	4.567724e-20	-4.567724e-05	-4.567724e-05	-4.551914e-20	-7.105549e-04	1.939959e-11	-1.939959e-11	-1.939959e-11	-4.567722e-05	7.105549e-04	-6.649773e-04
2.200000000000001e+00	1.440000e+01	4.785115e-01	2.201153e+00	4.785115e-01	2.200000e+00	1.440000e-18	-1.440000e-16	4.785115e-20	-4.785115e-05	-4.785115e-05	-4.773959e-20	-7.127117e-04	1.899958e-11	-1.899958e-11	-1.899959e-11	-4.785113e-05	7.127117e-04	-6.649601e-04
2.300000000000001e+00	1.440000e+01	5.002506e-01	2.301153e+00	5.002506e-01	2.300000e+00	1.440000e-18	-1.440000e-16	5.002507e-20	-5.002506e-05	-5.002506e-05	-4.996004e-20	-7.148685e-04	1.859959e-11	-1.859959e-11	-1.859959e-11	-5.002505e-05	7.148685e-04	-6.649430e-04
2.400000000000001e+00	1.440000e+01	5.219898e-01	2.401153e+00	5.219898e-01	2.400000e+00	1.440000e-18	-1.440000e-16	5.219898e-20	-5.219898e-05	-5.219898e-05	-5.218048e-20	-7.170255e-04	1.819958e-11	-1.819958e-11	-1.819959e-11	-5.219896e-05	7.170255e-04	-6.649261e-04
2.500000000000001e+00	1.440000e+01	5.437289e-01	2.501153e+00	5.437289e-01	2.500000e+00	1.440000e-18	-1.440000e-16	5.437290e-20	-5.437289e-05	-5.437289e-05	-5.440093e-20	-7.191827e-04	1.779958e-11	-1.779958e-11	-1.779959e-11	-5.437287e-05	7.191827e-04	-6.649093e-04
