v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
9.999999999999999e-01	1.000000e+00	7.592945e-02	9.870828e-01	7.592945e-02	-1.000000e-17	1.000000e-19	7.592944e-21	-7.592945e-06	-7.592945e-06	-7.632783e-21	-4.396176e-04	3.016185e-12	2.956267e-12	-7.592947e-06	4.396176e-04	6.236794e-02
1.100000000000000e+00	1.100000e+00	8.365589e-02	1.087527e+00	8.365589e-02	-1.100000e-17	1.100000e-19	8.365589e-21	-8.365589e-06	-8.365589e-06	-8.326673e-21	-4.416405e-04	3.216224e-12	3.158253e-12	-8.365591e-06	4.416405e-04	1.688225e-03
1.200000000000000e+00	1.200000e+00	9.137967e-02	1.187936e+00	9.137967e-02	-1.200000e-17	1.200000e-19	9.137967e-21	-9.137967e-06	-9.137967e-06	-9.159340e-21	-4.436637e-04	3.416262e-12	3.360088e-12	-9.137970e-06	4.436637e-04	2.485671e-04
1.300000000000000e+00	1.300000e+00	9.910110e-02	1.288314e+00	9.910110e-02	-1.300000e-17	1.300000e-19	9.910110e-21	-9.910110e-06	-9.910110e-06	-9.853229e-21	-4.456874e-04	3.616301e-12	3.561786e-12	-9.910113e-06	4.456874e-04	6.880119e-05
1.400000000000000e+00	1.400000e+00	1.068204e-01	1.388665e+00	1.068204e-01	-1.400000e-17	1.400000e-19	1.068204e-20	-1.068204e-05	-1.068204e-05	-1.068590e-20	-4.477117e-04	3.816340e-12	3.763360e-12	-1.068205e-05	4.477117e-04	-6.500573e-05
1.500000000000000e+00	1.500000e+00	1.145379e-01	1.488992e+00	1.145379e-01	-1.500000e-17	1.500000e-19	1.145379e-20	-1.145379e-05	-1.145379e-05	-1.137979e-20	-4.497364e-04	4.016378e-12	3.964837e-12	-1.145379e-05	4.497364e-04	-1.782699e-04
1.600000000000000e+00	1.600000e+00	1.222536e-01	1.589297e+00	1.222536e-01	-1.600000e-17	1.600000e-19	1.222536e-20	-1.222536e-05	-1.222536e-05	-1.221245e-20	-4.517618e-04	4.216417e-12	4.166209e-12	-1.222536e-05	4.517618e-04	-2.715234e-04
1.700000000000000e+00	1.700000e+00	1.299678e-01	1.689581e+00	1.299678e-01	-1.700000e-17	1.700000e-19	1.299678e-20	-1.299678e-05	-1.299678e-05	-1.304512e-20	-4.537878e-04	4.416456e-12	4.367488e-12	-1.299678e-05	4.537878e-04	-3.447774e-04
1.800000000000000e+00	1.800000e+00	1.376806e-01	1.789848e+00	1.376806e-01	-1.800000e-17	1.800000e-19	1.376806e-20	-1.376806e-05	-1.376806e-05	-1.387779e-20	-4.558144e-04	4.616495e-12	4.568692e-12	-1.376807e-05	4.558144e-04	-3.980322e-04
1.900000000000001e+00	1.900000e+00	1.453921e-01	1.890098e+00	1.453921e-01	-1.900000e-17	1.900000e-19	1.453921e-20	-1.453922e-05	-1.453922e-05	-1.443290e-20	-4.578417e-04	4.816533e-12	4.769829e-12	-1.453922e-05	4.578417e-04	-4.312879e-04
