v_supply	V(v_batteries)	V(vout_reg)	V(n001)	V(n002)	V(n003)	I(C1)	I(C2)	I(C_adc1)	I(R1)	I(R2)	I(R3)	I(V1)	I(V_regulator)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
4.100000000000001e+00	1.440000e+01	8.913414e-01	4.100170e+00	8.913414e-01	4.100000e+00	1.440000e-18	-1.440000e-16	8.913413e-20	-8.913413e-05	-8.913413e-05	-8.881784e-20	-4.851308e-04	2.028987e-08	-2.028987e-08	-2.020360e-08	-8.911394e-05	4.851308e-04	-4.852159e-04
4.200000000000001e+00	1.440000e+01	9.130791e-01	4.200164e+00	9.130791e-01	4.200000e+00	1.440000e-18	-1.440000e-16	9.130791e-20	-9.130791e-05	-9.130791e-05	-9.103829e-20	-4.851308e-04	2.027811e-08	-2.027811e-08	-2.019516e-08	-9.128771e-05	4.851308e-04	-4.852109e-04
4.300000000000001e+00	1.440000e+01	9.348168e-01	4.300157e+00	9.348168e-01	4.300000e+00	1.440000e-18	-1.440000e-16	9.348168e-20	-9.348168e-05	-9.348168e-05	-9.325873e-20	-4.851308e-04	2.026635e-08	-2.026635e-08	-2.018673e-08	-9.346149e-05	4.851308e-04	-4.852059e-04
4.400000000000000e+00	1.440000e+01	9.565545e-01	4.400151e+00	9.565545e-01	4.400000e+00	1.440000e-18	-1.440000e-16	9.565545e-20	-9.565545e-05	-9.565545e-05	-9.547918e-20	-4.851308e-04	2.025458e-08	-2.025458e-08	-2.017830e-08	-9.563527e-05	4.851308e-04	-4.852009e-04
4.500000000000000e+00	1.440000e+01	9.782922e-01	4.500144e+00	9.782922e-01	4.500000e+00	1.440000e-18	-1.440000e-16	9.782922e-20	-9.782922e-05	-9.782922e-05	-9.769963e-20	-4.851308e-04	2.024282e-08	-2.024282e-08	-2.016986e-08	-9.780905e-05	4.851308e-04	-4.851959e-04
4.600000000000000e+00	1.440000e+01	1.000030e+00	4.600138e+00	1.000030e+00	4.600000e+00	1.440000e-18	-1.440000e-16	1.000030e-19	-1.000030e-04	-1.000030e-04	-9.992007e-20	-4.851308e-04	2.023106e-08	-2.023106e-08	-2.016143e-08	-9.998283e-05	4.851308e-04	-4.851909e-04
4.699999999999999e+00	1.440000e+01	1.021768e+00	4.700131e+00	1.021768e+00	4.700000e+00	1.440000e-18	-1.440000e-16	1.021768e-19	-1.021768e-04	-1.021768e-04	-1.021405e-19	-4.851308e-04	2.021929e-08	-2.021929e-08	-2.015300e-08	-1.021566e-04	4.851308e-04	-4.851859e-04
4.799999999999999e+00	1.440000e+01	1.043505e+00	4.800125e+00	1.043505e+00	4.800000e+00	1.440000e-18	-1.440000e-16	1.043505e-19	-1.043505e-04	-1.043505e-04	-1.043610e-19	-4.851308e-04	2.020753e-08	-2.020753e-08	-2.014457e-08	-1.043304e-04	4.851308e-04	-4.851809e-04
4.899999999999999e+00	1.440000e+01	1.065243e+00	4.900118e+00	1.065243e+00	4.900000e+00	1.440000e-18	-1.440000e-16	1.065243e-19	-1.065243e-04	-1.065243e-04	-1.065814e-19	-4.851308e-04	2.019577e-08	-2.019577e-08	-2.013613e-08	-1.065042e-04	4.851308e-04	-4.851759e-04
4.999999999999998e+00	1.440000e+01	1.086981e+00	5.000112e+00	1.086981e+00	5.000000e+00	1.440000e-18	-1.440000e-16	1.086981e-19	-1.086981e-04	-1.086981e-04	-1.088019e-19	-4.851308e-04	2.018401e-08	-2.018401e-08	-2.012770e-08	-1.086779e-04	4.851308e-04	-4.851709e-04
